0,0,20
0,2,18
0,4,16
0,6,14
0,8,12
0,10,10
0,12,8
0,14,6
0,16,4
0,18,2
0,20,0
2,0,18
2,2,16
2,4,14
2,6,12
2,8,10
2,10,8
2,12,6
2,14,4
2,16,2
2,18,0
4,0,16
4,2,14
4,4,12
4,6,10
4,8,8
4,10,6
4,12,4
4,14,2
4,16,0
6,0,14
6,2,12
6,4,10
6,6,8
6,8,6
6,10,4
6,12,2
6,14,0
8,0,12
8,2,10
8,4,8
8,6,6
8,8,4
8,10,2
8,12,0
10,0,10
10,2,8
10,4,6
10,6,4
10,8,2
10,10,0
12,0,8
12,2,6
12,4,4
12,6,2
12,8,0
14,0,6
14,2,4
14,4,2
14,6,0
16,0,4
16,2,2
16,4,0
18,0,2
18,2,0
20,0,0
